935: -12+21+0
936: -12+21+1
937: -12+21+2
938: -12+21+3
939: -12+21+4
940: -12+20+0
941: -12+20+1
942: -12+20+2
943: -12+20+3
944: -12+20+4
945: -12+19+0
946: -12+19+1
947: -12+19+2
948: -12+19+3
949: -12+19+4
950: -12+18+0
951: -12+18+1
952: -12+18+2
953: -12+18+3
954: -12+18+4
955: -12+17+0
956: -12+17+1
957: -12+17+2
958: -12+17+3
959: -12+17+4
960: -12+16+0
961: -12+16+1
962: -12+16+2
963: -12+16+3
964: -12+16+4
965: -12+15+0
966: -12+15+1
967: -12+15+2
968: -12+15+3
969: -12+15+4
970: -12+14+0
971: -12+14+1
972: -12+14+2
973: -12+14+3
974: -12+14+4
975: -12+13+0
976: -12+13+1
977: -12+13+2
978: -12+13+3
979: -12+13+4
980: -12+12+0
981: -12+12+1
982: -12+12+2
983: -12+12+3
984: -12+12+4
985: -12+11+0
986: -12+11+1
987: -12+11+2
988: -12+11+3
989: -12+11+4
990: -12+10+0
991: -12+10+1
992: -12+10+2
993: -12+10+3
994: -12+10+4
995: -11+29+0
996: -11+29+1
997: -11+29+2
998: -11+29+3
999: -11+29+4
1000: -11+28+0
1001: -11+28+1
1002: -11+28+2
1003: -11+28+3
1004: -11+28+4
1005: -11+27+0
1006: -11+27+1
1007: -11+27+2
1008: -11+27+3
1009: -11+27+4
1010: -11+26+0
1011: -11+26+1
1012: -11+26+2
1013: -11+26+3
1014: -11+26+4
1015: -11+25+0
1016: -11+25+1
1017: -11+25+2
1018: -11+25+3
1019: -11+25+4
1020: -11+24+0
1021: -11+24+1
1022: -11+24+2
1023: -11+24+3
1024: -11+24+4
1025: -11+23+0
1026: -11+23+1
1027: -11+23+2
1028: -11+23+3
1029: -11+23+4
1030: -11+22+0
1031: -11+22+1
1032: -11+22+2
1033: -11+22+3
1034: -11+22+4
1035: -11+21+0
1036: -11+21+1
1037: -11+21+2
1038: -11+21+3
1039: -11+21+4
1040: -11+20+0
1041: -11+20+1
1042: -11+20+2
1043: -11+20+3
1044: -11+20+4
1045: -11+19+0
1046: -11+19+1
1047: -11+19+2
1048: -11+19+3
1049: -11+19+4
1050: -11+18+0
1051: -11+18+1
1052: -11+18+2
1053: -11+18+3
1054: -11+18+4
1055: -11+17+0
1056: -11+17+1
1057: -11+17+2
1058: -11+17+3
1059: -11+17+4
1060: -11+16+0
1061: -11+16+1
1062: -11+16+2
1063: -11+16+3
1064: -11+16+4
1065: -11+15+0
1066: -11+15+1
1067: -11+15+2
1068: -11+15+3
1069: -11+15+4
1070: -11+14+0
1071: -11+14+1
1072: -11+14+2
1073: -11+14+3
1074: -11+14+4
1075: -11+13+0
1076: -11+13+1
1077: -11+13+2
1078: -11+13+3
1079: -11+13+4
1080: -11+12+0
1081: -11+12+1
1082: -11+12+2
1083: -11+12+3
1084: -11+12+4
1085: -11+11+0
1086: -11+11+1
1087: -11+11+2
1088: -11+11+3
1089: -11+11+4
1090: -11+10+0
1091: -11+10+1
1092: -11+10+2
1093: -11+10+3
1094: -11+10+4
1095: -11+9+0
1096: -11+9+1
1097: -11+9+2
1098: -11+9+3
1099: -11+9+4
1100: -10+29+0
1101: -10+29+1
1102: -10+29+2
1103: -10+29+3
1104: -10+29+4
1105: -10+28+0
1106: -10+28+1
1107: -10+28+2
1108: -10+28+3
1109: -10+28+4
1110: -10+27+0
1111: -10+27+1
1112: -10+27+2
1113: -10+27+3
1114: -10+27+4
1115: -10+26+0
1116: -10+26+1
1117: -10+26+2
1118: -10+26+3
1119: -10+26+4
1120: -10+25+0
1121: -10+25+1
1122: -10+25+2
1123: -10+25+3
1124: -10+25+4
1125: -10+24+0
1126: -10+24+1
1127: -10+24+2
1128: -10+24+3
1129: -10+24+4
1130: -10+23+0
1131: -10+23+1
1132: -10+23+2
1133: -10+23+3
1134: -10+23+4
1135: -10+22+0
1136: -10+22+1
1137: -10+22+2
1138: -10+22+3
1139: -10+22+4
1140: -10+21+0
1141: -10+21+1
1142: -10+21+2
1143: -10+21+3
1144: -10+21+4
1145: -10+20+0
1146: -10+20+1
1147: -10+20+2
1148: -10+20+3
1149: -10+20+4
1150: -10+19+0
1151: -10+19+1
1152: -10+19+2
1153: -10+19+3
1154: -10+19+4
1155: -10+18+0
1156: -10+18+1
1157: -10+18+2
1158: -10+18+3
1159: -10+18+4
1160: -10+17+0
1161: -10+17+1
1162: -10+17+2
1163: -10+17+3
1164: -10+17+4
1165: -10+16+0
1166: -10+16+1
1167: -10+16+2
1168: -10+16+3
1169: -10+16+4
1170: -10+15+0
1171: -10+15+1
1172: -10+15+2
1173: -10+15+3
1174: -10+15+4
1175: -10+14+0
1176: -10+14+1
1177: -10+14+2
1178: -10+14+3
1179: -10+14+4
1180: -10+13+0
1181: -10+13+1
1182: -10+13+2
1183: -10+13+3
1184: -10+13+4
1185: -10+12+0
1186: -10+12+1
1187: -10+12+2
1188: -10+12+3
1189: -10+12+4
1190: -10+11+0
1191: -10+11+1
1192: -10+11+2
1193: -10+11+3
1194: -10+11+4
1195: -10+10+0
1196: -10+10+1
1197: -10+10+2
1198: -10+10+3
1199: -10+10+4
1200: -10+9+0
1201: -10+9+1
1202: -10+9+2
1203: -10+9+3
1204: -10+9+4
1205: -10+8+0
1206: -10+8+1
1207: -10+8+2
1208: -10+8+3
1209: -10+8+4
1210: -9+29+0
1211: -9+29+1
1212: -9+29+2
1213: -9+29+3
1214: -9+29+4
1215: -9+28+0
1216: -9+28+1
1217: -9+28+2
1218: -9+28+3
1219: -9+28+4
1220: -9+27+0
1221: -9+27+1
1222: -9+27+2
1223: -9+27+3
1224: -9+27+4
1225: -9+26+0
1226: -9+26+1
1227: -9+26+2
1228: -9+26+3
1229: -9+26+4
1230: -9+25+0
1231: -9+25+1
1232: -9+25+2
1233: -9+25+3
1234: -9+25+4
1235: -9+24+0
1236: -9+24+1
1237: -9+24+2
1238: -9+24+3
1239: -9+24+4
1240: -9+23+0
1241: -9+23+1
1242: -9+23+2
1243: -9+23+3
1244: -9+23+4
1245: -9+22+0
1246: -9+22+1
1247: -9+22+2
1248: -9+22+3
1249: -9+22+4
1250: -9+21+0
1251: -9+21+1
1252: -9+21+2
1253: -9+21+3
1254: -9+21+4
1255: -9+20+0
1256: -9+20+1
1257: -9+20+2
1258: -9+20+3
1259: -9+20+4
1260: -9+19+0
1261: -9+19+1
1262: -9+19+2
1263: -9+19+3
1264: -9+19+4
1265: -9+18+0
1266: -9+18+1
1267: -9+18+2
1268: -9+18+3
1269: -9+18+4
1270: -9+17+0
1271: -9+17+1
1272: -9+17+2
1273: -9+17+3
1274: -9+17+4
1275: -9+16+0
1276: -9+16+1
1277: -9+16+2
1278: -9+16+3
1279: -9+16+4
1280: -9+15+0
1281: -9+15+1
1282: -9+15+2
1283: -9+15+3
1284: -9+15+4
1285: -9+14+0
1286: -9+14+1
1287: -9+14+2
1288: -9+14+3
1289: -9+14+4
1290: -9+13+0
1291: -9+13+1
1292: -9+13+2
1293: -9+13+3
1294: -9+13+4
1295: -9+12+0
1296: -9+12+1
1297: -9+12+2
1298: -9+12+3
1299: -9+12+4
1300: -9+11+0
1301: -9+11+1
1302: -9+11+2
1303: -9+11+3
1304: -9+11+4
1305: -9+10+0
1306: -9+10+1
1307: -9+10+2
1308: -9+10+3
1309: -9+10+4
1310: -9+9+0
1311: -9+9+1
1312: -9+9+2
1313: -9+9+3
1314: -9+9+4
1315: -9+8+0
1316: -9+8+1
1317: -9+8+2
1318: -9+8+3
1319: -9+8+4
1320: -9+7+0
1321: -9+7+1
1322: -9+7+2
1323: -9+7+3
1324: -9+7+4
1325: -8+29+0
1326: -8+29+1
1327: -8+29+2
1328: -8+29+3
1329: -8+29+4
1330: -8+28+0
1331: -8+28+1
1332: -8+28+2
1333: -8+28+3
1334: -8+28+4
1335: -8+27+0
1336: -8+27+1
1337: -8+27+2
1338: -8+27+3
1339: -8+27+4
1340: -8+26+0
1341: -8+26+1
1342: -8+26+2
1343: -8+26+3
1344: -8+26+4
1345: -8+25+0
1346: -8+25+1
1347: -8+25+2
1348: -8+25+3
1349: -8+25+4
1350: -8+24+0
1351: -8+24+1
1352: -8+24+2
1353: -8+24+3
1354: -8+24+4
1355: -8+23+0
1356: -8+23+1
1357: -8+23+2
1358: -8+23+3
1359: -8+23+4
1360: -8+22+0
1361: -8+22+1
1362: -8+22+2
1363: -8+22+3
1364: -8+22+4
1365: -8+21+0
1366: -8+21+1
1367: -8+21+2
1368: -8+21+3
1369: -8+21+4
1370: -8+20+0
1371: -8+20+1
1372: -8+20+2
1373: -8+20+3
1374: -8+20+4
1375: -8+19+0
1376: -8+19+1
1377: -8+19+2
1378: -8+19+3
1379: -8+19+4
1380: -8+18+0
1381: -8+18+1
1382: -8+18+2
1383: -8+18+3
1384: -8+18+4
1385: -8+17+0
1386: -8+17+1
1387: -8+17+2
1388: -8+17+3
1389: -8+17+4
1390: -8+16+0
1391: -8+16+1
1392: -8+16+2
1393: -8+16+3
1394: -8+16+4
1395: -8+15+0
1396: -8+15+1
1397: -8+15+2
1398: -8+15+3
1399: -8+15+4
1400: -8+14+0
1401: -8+14+1
1402: -8+14+2
1403: -8+14+3
1404: -8+14+4
1405: -8+13+0
1406: -8+13+1
1407: -8+13+2
1408: -8+13+3
1409: -8+13+4
1410: -8+12+0
1411: -8+12+1
1412: -8+12+2
1413: -8+12+3
1414: -8+12+4
1415: -8+11+0
1416: -8+11+1
1417: -8+11+2
1418: -8+11+3
1419: -8+11+4
1420: -8+10+0
1421: -8+10+1
1422: -8+10+2
1423: -8+10+3
1424: -8+10+4
1425: -8+9+0
1426: -8+9+1
1427: -8+9+2
1428: -8+9+3
1429: -8+9+4
1430: -8+8+0
1431: -8+8+1
1432: -8+8+2
1433: -8+8+3
1434: -8+8+4
1435: -8+7+0
1436: -8+7+1
1437: -8+7+2
1438: -8+7+3
1439: -8+7+4
1440: -8+6+0
1441: -8+6+1
1442: -8+6+2
1443: -8+6+3
1444: -8+6+4
1445: -7+29+0
1446: -7+29+1
1447: -7+29+2
1448: -7+29+3
1449: -7+29+4
1450: -7+28+0
1451: -7+28+1
1452: -7+28+2
1453: -7+28+3
1454: -7+28+4
1455: -7+27+0
1456: -7+27+1
1457: -7+27+2
1458: -7+27+3
1459: -7+27+4
1460: -7+26+0
1461: -7+26+1
1462: -7+26+2
1463: -7+26+3
1464: -7+26+4
1465: -7+25+0
1466: -7+25+1
1467: -7+25+2
1468: -7+25+3
1469: -7+25+4
1470: -7+24+0
1471: -7+24+1
1472: -7+24+2
1473: -7+24+3
1474: -7+24+4
1475: -7+23+0
1476: -7+23+1
1477: -7+23+2
1478: -7+23+3
1479: -7+23+4
1480: -7+22+0
1481: -7+22+1
1482: -7+22+2
1483: -7+22+3
1484: -7+22+4
1485: -7+21+0
1486: -7+21+1
1487: -7+21+2
1488: -7+21+3
1489: -7+21+4
1490: -7+20+0
1491: -7+20+1
1492: -7+20+2
1493: -7+20+3
1494: -7+20+4
1495: -7+19+0
1496: -7+19+1
1497: -7+19+2
1498: -7+19+3
